ExpCode,ROI,nVertices,LabelSize,SubjCode,ClassifyPair,Classifier,Run,Predicted,Targets,ACC
1,roi.lh.f13.f-vs-o.ffa1.label,636,438.17,faceword03_self,face_intact-word_intact,cosmo_classify_libsvm,1,1,1,1
1,roi.lh.f13.f-vs-o.ffa1.label,636,438.17,faceword03_self,face_intact-word_intact,cosmo_classify_libsvm,1,5,5,1
1,roi.lh.f13.f-vs-o.ffa1.label,636,438.17,faceword03_self,face_intact-word_intact,cosmo_classify_libsvm,2,5,1,0
1,roi.lh.f13.f-vs-o.ffa1.label,636,438.17,faceword03_self,face_intact-word_intact,cosmo_classify_libsvm,2,5,5,1
1,roi.lh.f13.f-vs-o.ffa1.label,636,438.17,faceword03_self,face_intact-word_intact,cosmo_classify_libsvm,3,1,1,1
1,roi.lh.f13.f-vs-o.ffa1.label,636,438.17,faceword03_self,face_intact-word_intact,cosmo_classify_libsvm,3,1,5,0
1,roi.lh.f13.f-vs-o.ffa1.label,636,438.17,faceword03_self,face_intact-word_intact,cosmo_classify_libsvm,4,1,1,1
1,roi.lh.f13.f-vs-o.ffa1.label,636,438.17,faceword03_self,face_intact-word_intact,cosmo_classify_libsvm,4,5,5,1
1,roi.lh.f13.f-vs-o.ffa1.label,636,438.17,faceword03_self,face_intact-word_intact,cosmo_classify_libsvm,5,5,1,0
1,roi.lh.f13.f-vs-o.ffa1.label,636,438.17,faceword03_self,face_intact-word_intact,cosmo_classify_libsvm,5,5,5,1
1,roi.lh.f13.f-vs-o.ffa1.label,636,438.17,faceword03_self,face_intact-word_intact,cosmo_classify_libsvm,6,1,1,1
1,roi.lh.f13.f-vs-o.ffa1.label,636,438.17,faceword03_self,face_intact-word_intact,cosmo_classify_libsvm,6,5,5,1
1,roi.lh.f13.f-vs-o.ffa1.label,636,438.17,faceword03_self,face_intact-word_intact,cosmo_classify_libsvm,7,1,1,1
1,roi.lh.f13.f-vs-o.ffa1.label,636,438.17,faceword03_self,face_intact-word_intact,cosmo_classify_libsvm,7,5,5,1
1,roi.lh.f13.f-vs-o.ffa1.label,636,438.17,faceword03_self,face_intact-word_intact,cosmo_classify_libsvm,8,5,1,0
1,roi.lh.f13.f-vs-o.ffa1.label,636,438.17,faceword03_self,face_intact-word_intact,cosmo_classify_libsvm,8,5,5,1
