ExpCode,ROI,nVertices,LabelSize,SubjCode,Resp,Conditions,Target
1,roi.rh.f20.f-vs-o.label,207,146.15,faceword01_self,0.618468136387171,face,1
1,roi.rh.f20.f-vs-o.label,207,146.15,faceword01_self,-0.118511368261857,face,1
1,roi.rh.f20.f-vs-o.label,207,146.15,faceword01_self,-0.0554169565571387,face,1
1,roi.rh.f20.f-vs-o.label,207,146.15,faceword01_self,0.166551856818982,face,1
1,roi.rh.f20.f-vs-o.label,207,146.15,faceword01_self,92.5875320066001,object,2
1,roi.rh.f20.f-vs-o.label,207,146.15,faceword01_self,-1.73891861831256,object,2
1,roi.rh.f20.f-vs-o.label,207,146.15,faceword01_self,5.21009816693655,object,2
1,roi.rh.f20.f-vs-o.label,207,146.15,faceword01_self,-2.16865443220983,object,2
1,roi.rh.f20.f-vs-o.label,207,146.15,faceword01_self,0.280242201696703,word,3
1,roi.rh.f20.f-vs-o.label,207,146.15,faceword01_self,-0.644229929571677,word,3
1,roi.rh.f20.f-vs-o.label,207,146.15,faceword01_self,20.2531799428561,word,3
1,roi.rh.f20.f-vs-o.label,207,146.15,faceword01_self,0.846558645966008,word,3
1,roi.rh.f20.f-vs-o.label,207,146.15,faceword01_self,-1.43644603464195,scrambled,4
1,roi.rh.f20.f-vs-o.label,207,146.15,faceword01_self,0.00280842910282278,scrambled,4
1,roi.rh.f20.f-vs-o.label,207,146.15,faceword01_self,87.840974761668,scrambled,4
1,roi.rh.f20.f-vs-o.label,207,146.15,faceword01_self,-3.1549607316293,scrambled,4
1,roi.rh.f20.f-vs-o.label,464,320.41,faceword03_self,1.8561197540498,face,1
1,roi.rh.f20.f-vs-o.label,464,320.41,faceword03_self,0.904052220032037,face,1
1,roi.rh.f20.f-vs-o.label,464,320.41,faceword03_self,1.0948211162199,face,1
1,roi.rh.f20.f-vs-o.label,464,320.41,faceword03_self,0.917265741828957,face,1
1,roi.rh.f20.f-vs-o.label,464,320.41,faceword03_self,85.6360140874468,object,2
1,roi.rh.f20.f-vs-o.label,464,320.41,faceword03_self,-1.02213742697771,object,2
1,roi.rh.f20.f-vs-o.label,464,320.41,faceword03_self,4.32995600080176,object,2
1,roi.rh.f20.f-vs-o.label,464,320.41,faceword03_self,-2.02327483290493,object,2
1,roi.rh.f20.f-vs-o.label,464,320.41,faceword03_self,9.15166117165816,word,3
1,roi.rh.f20.f-vs-o.label,464,320.41,faceword03_self,0.231165431413783,word,3
1,roi.rh.f20.f-vs-o.label,464,320.41,faceword03_self,16.6387681580743,word,3
1,roi.rh.f20.f-vs-o.label,464,320.41,faceword03_self,-0.852301467707329,word,3
1,roi.rh.f20.f-vs-o.label,464,320.41,faceword03_self,0.310276117421993,scrambled,4
1,roi.rh.f20.f-vs-o.label,464,320.41,faceword03_self,0.558417773476384,scrambled,4
1,roi.rh.f20.f-vs-o.label,464,320.41,faceword03_self,86.0460903685668,scrambled,4
